,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
5155,700000.0,2.0,0.0,2.0,2000.0,1424.0,1925.0,7.0,28.0,2017.0,40.609262799999996,-73.9267167,0.948825694557671,2.4136890622440594,217.87185220362994,3,MARINE PARK,02 TWO FAMILY DWELLINGS                    ,1,8539,33,B2, ,11234,1,B2,0
5156,1088000.0,1.0,0.0,1.0,3800.0,1144.0,1953.0,5.0,20.0,2017.0,40.7742796,-73.8113396,1.0231652583515827,3.2018525526364474,217.86573955313074,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,4831,65,A2, ,11354,1,A2,0
5157,995000.0,1.0,0.0,1.0,2533.0,1575.0,1925.0,6.0,23.0,2017.0,40.6050604,-73.94537340000001,0.7536535766305906,2.7991400434476303,217.91079841840858,3,MADISON,01 ONE FAMILY DWELLINGS                    ,1,6833,49,A1, ,11229,1,A1,0
5158,370000.0,2.0,0.0,2.0,1088.0,1340.0,1945.0,12.0,50.0,2016.0,40.806056299999995,-73.857137,3.8628824867194305,1.2400271996136918,217.86741904834267,2,SOUNDVIEW,02 TWO FAMILY DWELLINGS                    ,1,3429,321,B3, ,10473,1,B3,1
5159,385000.0,1.0,0.0,1.0,1540.0,1376.0,1926.0,4.0,14.0,2017.0,40.70328129999999,-73.8698781,0.5852041638470822,3.4808380992967414,217.91400436601006,4,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,3829,6,A1, ,11385,1,A1,0
5160,335000.0,1.0,0.0,1.0,3450.0,1400.0,1930.0,9.0,36.0,2016.0,40.713533,-73.749775,2.8910725005788853,1.3329605009821188,217.89604095635028,4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10857,35,A1, ,11429,1,A1,1
5161,500000.0,1.0,0.0,1.0,2000.0,826.0,1920.0,7.0,30.0,2017.0,40.6790526,-73.8072021,1.1978196625328885,2.4366476791910054,217.9231186712053,4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11676,44,A1, ,11420,1,A1,0
5162,670000.0,2.0,0.0,2.0,2900.0,1932.0,1945.0,3.0,13.0,2017.0,40.699723,-73.73195,1.062234224068976,3.7777196152555947,217.83547020214075,4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,11269,26,B1, ,11411,1,B1,0
5163,211000.0,2.0,0.0,2.0,1235.0,1763.0,2004.0,9.0,37.0,2016.0,40.634814,-74.08967899999998,3.4499357621553113,2.202886399563402,217.85961155574964,5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,1,111,23,B9, ,10301,1,B9,1
5164,523000.0,1.0,0.0,1.0,2242.0,1264.0,1925.0,11.0,45.0,2016.0,40.6760266,-73.82523570000001,3.3848056986982877,0.6299713214545893,217.92613644228763,4,OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11705,52,A1, ,11420,1,A1,1
