,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
4931,538000.0,1.0,0.0,1.0,1512.0,960.0,1940.0,12.0,49.0,2016.0,40.76134700000001,-73.788719,1.4477784079521485,3.89226565258689,218.1528999166504,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5325,182,A5, ,11358,1,A5,0
4932,1299000.0,2.0,0.0,2.0,2050.0,3192.0,1905.0,3.0,11.0,2017.0,40.662020500000004,-73.95291600000002,3.9292421610427466,1.3956048024377274,218.05949659966313,3,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS                    ,1,1329,12,B1, ,11225,1,B1,1
4933,586000.0,3.0,0.0,3.0,2203.0,3156.0,1899.0,6.0,23.0,2017.0,40.70610870000001,-74.0075028,3.2307594370782935,1.657734087214043,218.0119993560097,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS                  ,1,4130,25,C0, ,11208,1,C0,1
4934,2170000.0,7.0,0.0,7.0,2576.0,5564.0,2006.0,9.0,39.0,2016.0,40.825151,-73.85353400000002,2.7556591663578422,3.9283353307462323,217.7687867325569,2,CASTLE HILL/UNIONPORT,07 RENTALS - WALKUP APARTMENTS             ,2B,3681,56,C1, ,10473,2,C1,0
4935,569900.0,1.0,0.0,1.0,2400.0,1120.0,1920.0,12.0,49.0,2016.0,40.6220385,-73.93087299999998,1.202614849872715,3.8142035071443763,218.15337167535307,3,FLATLANDS,01 ONE FAMILY DWELLINGS                    ,1,7844,22,A1, ,11234,1,A1,0
4936,450000.0,1.0,0.0,1.0,3800.0,1338.0,1945.0,6.0,24.0,2017.0,40.6884814,-73.72988289999998,3.195726460506977,1.6423227571793149,218.09456107900286,4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,12770,81,A2, ,11411,1,A2,1
4937,660000.0,4.0,0.0,4.0,2500.0,2820.0,1931.0,3.0,13.0,2017.0,40.7415086,-73.8608453,3.7367035177099273,0.9621024387973417,217.95487031600862,4,CORONA,07 RENTALS - WALKUP APARTMENTS             ,2A,1931,22,C3, ,11368,2,C3,1
4938,830892.0,1.0,0.0,1.0,5108.0,2431.0,2015.0,12.0,49.0,2016.0,40.622119899999994,-74.1092752,3.022199727132472,4.733988742570581,218.10382958248152,5,CLOVE LAKES,01 ONE FAMILY DWELLINGS                    ,1,298,67,A3, ,10310,1,A3,0
4939,490000.0,2.0,0.0,2.0,2425.0,1920.0,1998.0,3.0,10.0,2017.0,40.599965000000005,-73.74998099999998,4.540692648597718,2.6326576149176812,218.06778563273238,4,FAR ROCKAWAY,02 TWO FAMILY DWELLINGS                    ,1,15574,92,B2, ,11691,1,B2,1
4940,490000.0,1.0,0.0,1.0,3000.0,1188.0,1925.0,12.0,48.0,2016.0,40.7249434,-73.7314885,1.740259199311259,3.9771226573396015,218.1300245404295,4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10750,15,A1, ,11428,1,A1,0
4941,595000.0,2.0,0.0,2.0,2700.0,2205.0,1930.0,7.0,30.0,2017.0,40.672938200000004,-73.80217019999998,2.7113917712306175,1.4980009004231747,218.0506525391025,4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,11760,93,B3, ,11420,1,B3,1
4942,1180000.0,2.0,0.0,2.0,3005.0,2336.0,1925.0,9.0,39.0,2016.0,40.6177656,-73.9789855,1.2340778106931913,3.0537678733106586,218.0700858819419,3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,5515,26,B3, ,11204,1,B3,0
4943,730000.0,1.0,0.0,1.0,2000.0,1360.0,1930.0,1.0,2.0,2017.0,40.722713,-73.87145600000001,4.480415704706873,1.5741786202379657,218.13659653839244,4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,2996,71,A5, ,11379,1,A5,1
4944,370000.0,1.0,0.0,1.0,2410.0,1078.0,1930.0,10.0,41.0,2016.0,40.6016806,-73.8199083,1.392953929905439,3.339802613180143,218.14229679884812,4,BROAD CHANNEL,01 ONE FAMILY DWELLINGS                    ,1,15479,1,A2, ,11693,1,A2,0
4945,770000.0,2.0,0.0,2.0,2425.0,1688.0,1925.0,7.0,31.0,2017.0,40.7037989,-73.8886507,2.551985535713073,1.2880761026620362,218.0682284552822,4,GLENDALE,02 TWO FAMILY DWELLINGS                    ,1,3648,13,B2, ,11385,1,B2,1
4946,780000.0,1.0,0.0,1.0,2667.0,1260.0,1925.0,2.0,7.0,2017.0,40.607785299999996,-73.95120539999998,4.205700678622558,1.5137804275226794,218.13737242139692,3,MADISON,01 ONE FAMILY DWELLINGS                    ,1,6804,26,A1, ,11229,1,A1,1
